Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,Status,Max_kW_Rating,Total_kW_Capacity,index_right,SA4_CODE26,SA4_NAME26,CHG_FLAG26,CHG_LBL26,GCC_CODE26,GCC_NAME26,STE_CODE26,STE_NAME26,AUS_CODE26,AUS_NAME26,AREASQKM26,ocm_poi_id,plug_types,num_bays,operator_ocm,pricing_ocm,match_distance_km,name_similarity,address_similarity,match_score,match_confidence
Unknown,"9-17 Short St, Parkes NSW 2870",Tesla,4,DC,175 kW,-33.1413775,148.1740685,Parkes Shire Council,2870,Fast Charging R1,Operational,175.0,175.0,2.0,103,Central West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,70297.0605,191956.0,"CCS (Type 2), CHAdeMO",1.0,NRMA,FREE,0.4599,,,,coordinate_distance
Unknown,"924 Anzac Pde
Maroubra NSW 2035
Australia",Evie Networks,2,DC,75 kW,-33.9427694,151.2401202,Randwick City Council,2035,Kerbside Charging R1,Operational,75.0,75.0,17.0,118,Sydney - Eastern Suburbs,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,57.7341,,,,,,,,,,no_match
Unknown,"Brewer St
Concord NSW 2137
Australia",Evie Networks,4,DC,75 kW,-33.8538342,151.1054057,City Of Canada Bay Council,2137,Kerbside Charging R1,Operational,75.0,75.0,19.0,120,Sydney - Inner West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,64.5756,,,,,,,,,,no_match
Unknown,"Cabarita Beach Bowls and Sports Club, Cabarita Beach NSW 2488",NRMA,4,DC,175 kW,-28.332159,153.5641479,Tweed Shire Council,2488,Fast Charging R1,Operational,175.0,175.0,11.0,112,Richmond - Tweed,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,10271.3204,295994.0,"CCS (Type 2), CHAdeMO, Type 2 (Socket Only)",4.0,NRMA,$0.60/kWh,0.0576,,,,coordinate_distance
Unknown,"Cnr Cumberland Hwy & Cabramatta Rd W, Cabramatta NSW 2166, Australia",BP,4,DC,175 kW,-33.8993725,150.9191077,Fairfield City Council,2166,Fast Charging R1,Operational,175.0,175.0,26.0,127,Sydney - South West,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,540.2775,191161.0,"CCS (Type 2), CHAdeMO",2.0,Evie,$0.40/kWh,0.1,,,,coordinate_distance
Unknown,"Coonabarabran Visitor Cntr, Coonabarabran, 2357",NRMA,2,DC,50 kW,-31.27879984,149.2792432,Warrumbungle Shire Council,2357,Existing Fast Chargers,Operational,50.0,50.0,4.0,105,Far West and Orana,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,339355.6495,191959.0,"CCS (Type 2), CHAdeMO",1.0,NRMA,FREE,0.0129,,,,coordinate_distance
Unknown,Corner Sturgeon St & Glenelg St Raymond Terrace NSW 2324 Australia,Tesla,12,DC,175 kW,-32.7645423,151.7425233,Port Stephens Council,2324,Fast Charging R1,Operational,175.0,175.0,5.0,106,Hunter Valley exc Newcastle,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,21491.2923,297859.0,CCS (Type 2),12.0,Tesla (including non-tesla),$0.68/kWh,0.0972,,,,coordinate_distance
Unknown,Council Car Park Lot 4 / DP251076 between 46 Lowe Street Queanbeyan NSW 2620,NRMA,4,DC,175 kW,-35.3549827,149.2329145,Queanbeyan-Palerang Regional Council,2620,Fast Charging R1,Operational,175.0,175.0,0.0,101,Capital Region,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,51896.2445,,,,,,,,,,no_match
Unknown,"Gasworks Ln, Molong, NSW, 2866, Australia",NRMA,4,DC,175 kW,-33.0912006,148.8706612,Cabonne Council,2866,Fast Charging R1,Operational,175.0,175.0,2.0,103,Central West,0,No change,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,70297.0605,,,,,,,,,,no_match
Unknown,"Gouldsbury St
Mosman NSW 2088
Australia",Evie Networks,2,DC,75 kW,-33.8276585,151.2423815,Mosman Municipal Council,2088,Kerbside Charging R1,Operational,75.0,75.0,20.0,121,Sydney - North Sydney and Hornsby,0,No change,1GSYD,Greater Sydney,1,New South Wales,AUS,Australia,275.0992,191164.0,"CHAdeMO, CCS (Type 2)",1.0,Evie,$0.40/kWh,0.2603,,,,coordinate_distance
